id_plano_acao,id_plano_trabalho,id_executor,CHAVE,situacao_plano_trabalho,classificacao_orcamentaria_pt,id_meta,sequencial_meta,nome_executor,objeto_executor,desc_meta,un_medida_meta,qt_uniade_meta,elemento_despesa_estimado,categoria_macro,CLASSIFICACAO DETALHAMENTO OBJETO,CLASSIFICACAO JUSTIFIFICATIVA
83398,35419,38161.0,83398-35419-38161,APROVADO,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",838710.0,10.0,MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Janeiro, situada na zona rural.",M2,22440.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
83398,35419,38161.0,83398-35419-38161,APROVADO,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",842810.0,20.0,MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Consoladora, situada na zona rural.",M2,23220.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
83398,35419,38161.0,83398-35419-38161,APROVADO,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",842820.0,30.0,MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Venturin, situada na zona rural.",M2,18240.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
83398,35419,38161.0,83398-35419-38161,APROVADO,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",842830.0,40.0,MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Santa Lúcia, situada na zona rural.",M2,42100.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
78012,36742,39470.0,78012-36742-39470,APROVADO,"07.00 SEC INFRAESTRUTURA
15.451.2003.1022 PAVIMENTAR E DRENAR RUAS E AVENIDAS
4.4.90.51.01 OBRAS E INSTALAÇÕES",856140.0,10.0,MUNICIPIO DE PEDRA LAVRADA,"Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB","Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB",M2,63200.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
75539,35476,38219.0,75539-35476-38219,Enviado para Análise,"Função:               15 – Urbanismo  
Subfunção:            451 – Infraestrutura Urbana  
Programa:             0005 – Pavimentação de Ruas, AV, Praças e Outras Obras do Setor  
Ação:                 1015 – Execução de Obras de Pavimentação e Calçamento  
Categoria Econômica:  4 – Despesas de Capital  
Grupo da Despesa:     4.4 – Investimentos  
Elemento:             44.90.51 – Obras e Instalações",839450.0,10.0,MUNICIPIO DE ARATACA,Construção de Centro Comunitário Esportivo na Sede do Município de Arataca/BA,Construção de Centro Comunitário Esportivo na Sede do Município de Arataca/BA,UN,10.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
84071,40180,42980.0,84071-40180-42980,APROVADO,"06- Secretaria de Infraestrutura e Serviços Urbanos
003 - Secretaria de Infraestrutura e Serviços Urbanos
15.451.0009.1012 - Pavimentação e Recuperação de ruas 
4.4.90.51.00.00 - Obras e Instalações
Fonte de Recurso: 1706.31100000 - Transferências da União Decorrentes de Emendas Parlamentares Individuais",914200.0,10.0,MUNICIPIO DE ALTO ARAGUAIA,"Pavimentação tipo TSD na rua Edmundo Vieira de Freitas Sobrinho, bairro Aeroporto com travessia para o bairro professora Maria das Graças de Souza Pinto no município de Alto Araguaia - MT.","Implantação de pavimentação urbana em travessia, com extensão de cerca de 415m, contemplando terraplanagem, drenagem, pavimentação asfáltica, passeio público e sinalização.",M,4150.0,51 - Obras e Instalações,Obra/instalação,detalhado,IDENTIFICADO
79653,37349,40080.0,79653-37349-40080,Enviado para Análise,1.512.270.041.737,864560.0,10.0,MUNICIPIO DE UBERLANDIA,"O objeto da presente emenda parlamentar é a revitalização e reforma do camelódromo de Uberlândia/MG, visando melhorar a infraestrutura física e funcional do espaço destinado ao comércio popular.

A iniciativa tem como objetivo fortalecer a economia local, oferecendo melhores condições de trabalho aos comerciantes, além de proporcionar mais conforto, segurança e acessibilidade para a população que frequenta o local.

A revitalização do espaço contribuirá para organização do comércio ambulante, valorização do centro urbano e incremento da economia popular, gerando impacto positivo para comerciantes, consumidores e para o desenvolvimento econômico do município.",REFORMA DO CAMELODROMO MUNICIPAL DA AVENIDA AFONSO PENA,UN,10.0,51 - Obras e Instalações,Obra/instalação,detalhado,IDENTIFICADO
83591,34779,37588.0,83591-34779-37588,APROVADO,"09 - SECRETARIA MUNICIPAL OBRAS E URBANISMO
0500 - Superintendencia de Manutencao de Estradas Vicinai
09.0500.26.782.00011.002 - CONSTRUCAO DE PONTES, BUEIRAS, PASSAGEM MOLHADA E PONTOS DE ONIBUS
4.4.9.0.51.00.00.00.0000 OBRAS E INSTALACOES",831180.0,10.0,MUNICIPIO DE OLHO D'AGUA GRANDE,Implantação de passagens molhadas em estradas vicinais no município de Olho D'Água Grande – AL,Implantação De Passagem Molhada Em Estradas Vicinais no Municipio ee Olho Dagua Grande - AL,UN,10.0,51 - Obras e Instalações,Obra/instalação,detalhado,NÃO FOI POSSÍVEL IDENTIFICAR
76173,40279,43087.0,76173-40279-43087,Enviado para Análise,09.01.00 10 301 1002 2006 3.3.90.39,915690.0,10.0,FUNDO MUNICIPAL DE SAUDE,"Custeio de ações e serviços de Atenção Primária à Saúde, com foco no fortalecimento da Estratégia Saúde da Família, ampliação o acesso à assistência e qualificação da atenção prestada à população do Município de Ferraz de Vasconcelos/SP.","Execução dos serviços de Atenção Primária à Saúde nas Unidades Básicas de Saúde, mediante contrato de gestão firmado com a Organização Social de Saúde.",UN,10.0,39 - Outros Serviços de Terceiros - Pessoa Jurídica,Serviços,mediano,IDENTIFICADO
