codigo,texto
3.0.00.00.00,DESPESAS CORRENTES
3.1.00.00.00,PESSOAL E ENCARGOS SOCIAIS
3.1.30.00.00,Transferências a Estados e ao Distrito Federal
3.1.30.41.00,Contribuições
3.1.30.99.00,A Classificar
3.1.71.00.00,Transferências a Consórcios Públicos mediante contrato de rateio
3.1.71.70.00,Rateio pela Participação em Consórcio Público
3.1.71.99.00,A Classificar
3.1.73.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
3.1.73.70.00,Rateio pela Participação em Consórcio Público
3.1.73.99.00,A Classificar
3.1.74.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar n o 141, de 2012"
3.1.74.70.00,Rateio pela Participação em Consórcio Público
3.1.74.99.00,A Classificar
3.1.80.00.00,Transferências ao Exterior
3.1.80.04.00,Contratação por Tempo Determinado
3.1.80.99.00,A Classificar
3.1.90.00.00,Aplicações Diretas
3.1.90.01.00,"Aposentadorias, Reserva Remunerada e Reformas"
3.1.90.03.00,Pensões
3.1.90.04.00,Contratação por Tempo Determinado
3.1.90.07.00,Contribuição a Entidades Fechadas de Previdência
3.1.90.11.00,Vencimentos e Vantagens Fixas - Pessoal Civil
3.1.90.12.00,Vencimentos e Vantagens Fixas - Pessoal Militar
3.1.90.13.00,Obrigações Patronais
3.1.90.16.00,Outras Despesas Variáveis - Pessoal Civil
3.1.90.17.00,Outras Despesas Variáveis - Pessoal Militar
3.1.90.67.00,Depósitos Compulsórios
3.1.90.91.00,Sentenças Judiciais
3.1.90.92.00,Despesas de Exercícios Anteriores
3.1.90.94.00,Indenizações e Restituições Trabalhistas
3.1.90.96.00,Ressarcimento de Despesas de Pessoal Requisitado
3.1.90.99.00,A Classificar
3.1.91.00.00,"Aplicação Direta Decorrente de Operação entre Órgãos, Fundos e Entidades Integrantes dos Orçamentos Fiscal e da Seguridade Social"
3.1.91.04.00,Contratação por Tempo Determinado
3.1.91.13.00,Contribuições Patronais
3.1.91.91.00,Sentenças Judiciais
3.1.91.92.00,Despesas de Exercícios Anteriores
3.1.91.94.00,Indenizações e Restituições Trabalhistas
3.1.91.96.00,Ressarcimento de Despesas de Pessoal Requisitado
3.1.91.99.00,A Classificar
3.1.95.00.00,"Aplicação Direta à conta de recursos de que tratam os §§ 1 o e 2 o do art. 24 da Lei Complementar n o 141, de 2012"
