id_plano_acao,cnpj_beneficiario_plano_acao,nome_beneficiario_plano_acao,uf_beneficiario_plano_acao,codigo_emenda_parlamentar_formatado_plano_acao,id_plano_trabalho,situacao_plano_trabalho,prazo_execucao_meses_plano_trabalho,classificacao_orcamentaria_pt,id_executor,cnpj_executor,nome_executor,objeto_executor,id_meta,sequencial_meta,desc_meta,un_medida_meta,qt_uniade_meta,vl_custeio_emenda_especial_meta,vl_investimento_emenda_especial_meta,vl_custeio_recursos_proprios_meta,vl_investimento_recursos_proprios_meta,vl_custeio_rendimento_meta,vl_investimento_rendimento_meta,vl_custeio_doacao_meta,vl_investimento_doacao_meta,qt_meses_meta
83398,83021865000161,MUNICIPIO DE QUILOMBO,SC,202539800001-FABIO SCHIOCHET,35419,APROVADO,36,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",38161,83021865000161,MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,83871,1,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Janeiro, situada na zona rural.",M2,2244,0,200000,0,0,0,0,0,0,36
83398,83021865000161,MUNICIPIO DE QUILOMBO,SC,202539800001-FABIO SCHIOCHET,35419,APROVADO,36,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",38161,83021865000161,MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,84281,2,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Consoladora, situada na zona rural.",M2,2322,0,200000,0,0,0,0,0,0,36
83398,83021865000161,MUNICIPIO DE QUILOMBO,SC,202539800001-FABIO SCHIOCHET,35419,APROVADO,36,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",38161,83021865000161,MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,84282,3,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Venturin, situada na zona rural.",M2,1824,0,200000,0,0,0,0,0,0,36
83398,83021865000161,MUNICIPIO DE QUILOMBO,SC,202539800001-FABIO SCHIOCHET,35419,APROVADO,36,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",38161,83021865000161,MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,84283,4,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Santa Lúcia, situada na zona rural.",M2,4210,0,390000,0,0,0,0,0,0,36
78012,08740466000135,MUNICIPIO DE PEDRA LAVRADA,PB,202544360001-MURILO GALDINO,36742,APROVADO,36,"07.00 SEC INFRAESTRUTURA
15.451.2003.1022 PAVIMENTAR E DRENAR RUAS E AVENIDAS
4.4.90.51.01 OBRAS E INSTALAÇÕES",39470,08740466000135,MUNICIPIO DE PEDRA LAVRADA,"Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB",85614,1,"Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB",M2,6320,0,495000,0,0,0,0,0,0,36
75539,13658158000103,MUNICIPIO DE ARATACA,BA,202537950002-OTTO ALENCAR,35476,Enviado para Análise,12,"Função:               15 – Urbanismo  
Subfunção:            451 – Infraestrutura Urbana  
Programa:             0005 – Pavimentação de Ruas, AV, Praças e Outras Obras do Setor  
Ação:                 1015 – Execução de Obras de Pavimentação e Calçamento  
Categoria Econômica:  4 – Despesas de Capital  
Grupo da Despesa:     4.4 – Investimentos  
Elemento:             44.90.51 – Obras e Instalações",38219,13658158000103,MUNICIPIO DE ARATACA,Construção de Centro Comunitário Esportivo na Sede do Município de Arataca/BA,83945,1,Construção de Centro Comunitário Esportivo na Sede do Município de Arataca/BA,UN,1,0,495000,0,0,0,0,0,0,12
84071,03579836000180,MUNICIPIO DE ALTO ARAGUAIA,MT,202541540004-JUAREZ COSTA,40180,APROVADO,24,"06- Secretaria de Infraestrutura e Serviços Urbanos
003 - Secretaria de Infraestrutura e Serviços Urbanos
15.451.0009.1012 - Pavimentação e Recuperação de ruas 
4.4.90.51.00.00 - Obras e Instalações
Fonte de Recurso: 1706.31100000 - Transferências da União Decorrentes de Emendas Parlamentares Individuais",42980,03579836000180,MUNICIPIO DE ALTO ARAGUAIA,"Pavimentação tipo TSD na rua Edmundo Vieira de Freitas Sobrinho, bairro Aeroporto com travessia para o bairro professora Maria das Graças de Souza Pinto no município de Alto Araguaia - MT.",91420,1,"Implantação de pavimentação urbana em travessia, com extensão de cerca de 415m, contemplando terraplanagem, drenagem, pavimentação asfáltica, passeio público e sinalização.",M,415,0,1188000,0,10000,0,2000,0,0,24
78139,47842836000105,MUNICIPIO DE FERNANDOPOLIS,SP,202539280003-CARLA ZAMBELLI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79653,18431312000115,MUNICIPIO DE UBERLANDIA,MG,202543000001-ANA PAULA LEÃO,37349,Enviado para Análise,36,15.122.7004.1737,40080,18431312000115,MUNICIPIO DE UBERLANDIA,"O objeto da presente emenda parlamentar é a revitalização e reforma do camelódromo de Uberlândia/MG, visando melhorar a infraestrutura física e funcional do espaço destinado ao comércio popular.

A iniciativa tem como objetivo fortalecer a economia local, oferecendo melhores condições de trabalho aos comerciantes, além de proporcionar mais conforto, segurança e acessibilidade para a população que frequenta o local.

A revitalização do espaço contribuirá para organização do comércio ambulante, valorização do centro urbano e incremento da economia popular, gerando impacto positivo para comerciantes, consumidores e para o desenvolvimento econômico do município.",86456,1,REFORMA DO CAMELODROMO MUNICIPAL DA AVENIDA AFONSO PENA,UN,1,0,396000,0,0,0,0,0,0,36
83591,12207411000131,MUNICIPIO DE OLHO D'AGUA GRANDE,AL,202540180003-ISNALDO BULHÕES JR.,34779,APROVADO,36,"09 - SECRETARIA MUNICIPAL OBRAS E URBANISMO
0500 - Superintendencia de Manutencao de Estradas Vicinai
09.0500.26.782.00011.002 - CONSTRUCAO DE PONTES, BUEIRAS, PASSAGEM MOLHADA E PONTOS DE ONIBUS
4.4.9.0.51.00.00.00.0000 OBRAS E INSTALACOES",37588,12207411000131,MUNICIPIO DE OLHO D'AGUA GRANDE,Implantação de passagens molhadas em estradas vicinais no município de Olho D'Água Grande – AL,83118,1,Implantação De Passagem Molhada Em Estradas Vicinais no Municipio ee Olho Dagua Grande - AL,UN,1,0,396000,0,0,0,0,0,0,36
