CHAVE,situacao_plano_trabalho,classificacao_orcamentaria_pt,nome_executor,objeto_executor,data
83398-35419-38161,APROVADO,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC,"""1"": Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Janeiro, situada na zona rural. - (2244 M2); ""2"": Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Consoladora, situada na zona rural. - (2322 M2); ""3"": Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Venturin, situada na zona rural. - (1824 M2); ""4"": Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Santa Lúcia, situada na zona rural. - (4210 M2)"
78012-36742-39470,APROVADO,"07.00 SEC INFRAESTRUTURA
15.451.2003.1022 PAVIMENTAR E DRENAR RUAS E AVENIDAS
4.4.90.51.01 OBRAS E INSTALAÇÕES",MUNICIPIO DE PEDRA LAVRADA,"Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB","""1"": Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB - (6320 M2)"
75539-35476-38219,Enviado para Análise,"Função:               15 – Urbanismo  
Subfunção:            451 – Infraestrutura Urbana  
Programa:             0005 – Pavimentação de Ruas, AV, Praças e Outras Obras do Setor  
Ação:                 1015 – Execução de Obras de Pavimentação e Calçamento  
Categoria Econômica:  4 – Despesas de Capital  
Grupo da Despesa:     4.4 – Investimentos  
Elemento:             44.90.51 – Obras e Instalações",MUNICIPIO DE ARATACA,"Construção de Centro Comunitário Esportivo na sede do Município de Arataca/BA, compreendendo a execução de pavimentação em piso de concreto intertravado, implantação de paisagismo, instalação de academia ao ar livre e edificação de ponto de apoio com banheiros. A intervenção tem por finalidade qualificar a infraestrutura urbana, ampliando os espaços públicos de esporte e lazer promovendo maior integração social.","""1"": Construção de Centro Comunitário Esportivo na Sede do Município de Arataca/BA - (450 M2)"
84071-40180-42980,APROVADO,"06- Secretaria de Infraestrutura e Serviços Urbanos
003 - Secretaria de Infraestrutura e Serviços Urbanos
15.451.0009.1012 - Pavimentação e Recuperação de ruas 
4.4.90.51.00.00 - Obras e Instalações
Fonte de Recurso: 1706.31100000 - Transferências da União Decorrentes de Emendas Parlamentares Individuais",MUNICIPIO DE ALTO ARAGUAIA,"Pavimentação tipo TSD na rua Edmundo Vieira de Freitas Sobrinho, bairro Aeroporto com travessia para o bairro professora Maria das Graças de Souza Pinto no município de Alto Araguaia - MT.","""1"": Implantação de pavimentação urbana em travessia, com extensão de cerca de 415m, contemplando terraplanagem, drenagem, pavimentação asfáltica, passeio público e sinalização. - (415 M)"
79653-37349-40080,Enviado para Análise,"15.122.7004.1737
15-Urbanismo / 451-Infraestrutura Urbana",MUNICIPIO DE UBERLANDIA,"A presente ação tem como objeto a requalificação do mercado anexo Municipal de Uberlândia/MG, enquadrada na dotação orçamentária de construção e melhoria de edificações públicas. O projeto visa modernizar a infraestrutura do espaço do mercado destinado ao comércio popular, promovendo adequações físicas na estrutura do mercado, acessibilidade e funcionais que garantam melhores condições de trabalho aos comerciantes.
A iniciativa busca ainda oferecer maior conforto, segurança e acessibilidade aos consumidores, contribuindo para a organização do comércio, valorização do centro urbano e fortalecimento da economia local. Com a melhoria da estrutura, espera-se estimular o desenvolvimento econômico do município, gerando benefícios diretos tanto para os trabalhadores quanto para a população que utiliza o espaço.
Apoio a projetos e obras de reabilitação, acessibilidade e modernização tecnológica em áreas urbanas. A ação prevê a elaboração e a execução de obras de implantação, ampliação, restauração, reforma e/ou adaptação de espaços e logradouros públicos urbanos.
","""1"": REQUALIFICAÇÃO DO MERCADO MUNICIPAL ANEXO - (1 UN)"
83591-34779-37588,APROVADO,"09 - SECRETARIA MUNICIPAL OBRAS E URBANISMO
0500 - Superintendencia de Manutencao de Estradas Vicinai
09.0500.26.782.00011.002 - CONSTRUCAO DE PONTES, BUEIRAS, PASSAGEM MOLHADA E PONTOS DE ONIBUS
4.4.9.0.51.00.00.00.0000 OBRAS E INSTALACOES",MUNICIPIO DE OLHO D'AGUA GRANDE,Implantação de passagens molhadas em estradas vicinais no município de Olho D'Água Grande – AL,"""1"": Implantação De Passagem Molhada Em Estradas Vicinais no Municipio ee Olho Dagua Grande - AL - (1 UN)"
76173-40279-43087,Em Complementação,09.01.00 10 301 1002 2006 3.3.90.39,FUNDO MUNICIPAL DE SAUDE,"Custeio de ações e serviços de Atenção Primária à Saúde, com foco no fortalecimento da Estratégia Saúde da Família, ampliação o acesso à assistência e qualificação da atenção prestada à população do Município de Ferraz de Vasconcelos/SP.","""1"": Execução dos serviços de Atenção Primária à Saúde nas Unidades Básicas de Saúde, mediante contrato de gestão firmado com a Organização Social de Saúde. - (1 UN)"
83885-36056-38782,APROVADO,NA,MUNICIPIO DE PRESIDENTE GETULIO,"Aquisição de uma retroescavadeira para a secretaria municipal de obras, destinada melhoria dos serviços urbanos no município de Presidente Getúlio.
RETROESCAVADEIRA NOVA. TIPO A. ZERO HORA. COM TRAÇÃO 4X4, CABINE FECHADA, AR-CONDICIONADO, CAÇAMBAS CARREGADEIRA DE 1,1M³ E ESCAVADEIRA DE 0,26M³, PROFUNDIDADE MÁXIMA DE ESCAVAÇÃO DE 4.540 MM, PESO OPERACIONAL DE 8.185 KG, TRANSMISSÃO DE 4 MARCHAS À FRENTE E 4 À RÉ.","""1"": Aquisição de uma retroescavadeira. - (1 UN)"
76896-36792-39518,Enviado para Análise,"Órgão: 16  - Fundo Municipal de Educação
Unidade: 16.16 - Fundo Municipal de Educação
Função: 12 - Educação
Subfunção: 361 - Ensino Fundamental
Programa: 0007 - Gestão de Políticas Educacionais
Atividade: 1035 - Construção, Reforma e Ampliação de Unidades Escolares
Natureza da despesa: 44.90.51.00 - Obras e Instalações
Fonte de Recursos: 17060000 - Transferências Especiais da União",MUNICIPIO DE SAO DOMINGOS DO CAPIM,REFORMA DE TRÊS ESCOLAS MUNICIPAIS EM SÃO DOMINGOS DO CAPIM/PA,"""1"": REFORMA DA ESCOLA VEREADOR CANDIDO LOPES DE OLIVEIRA (elétrica geral, hidráulica geral, pintura geral, forro, revisão em telhados, limpeza geral  ) - (1624 M2); ""2"": REFORMA DA ESCOLA IZABEL CUNHA (elétrica geral, hidráulica geral, pintura geral, forro, revisão em telhados, limpeza geral) - (495 M2); ""3"": REFORMA DA ESCOLA NOSSA SENHORA DO LIVRAMENTO II (elétrica geral, hidráulica geral, pintura geral, forro, revisão em telhados, limpeza geral) - (415 M2)"
77998-38437-41187,Em Complementação,"02 PODER EXECUTIVO
02 07 SECRETARIA DE EDUCACAO, CULTURA E DESPORTO
02 07 72 DEPARTAMENTO DE CULTURA E DESPORTO
13 Cultura
13 392 Difusão Cultural
13 392 0042 PROMOÇÃO E DIFUSÃO DA CULTURA LOCAL
13 392 0042 2042 0000 MANUT DAS ATIVIDADES CULTURAIS
",MUNICIPIO DE CALCADO,35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE.,"""1"": 35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE. - (1 UN)"
