id_plano_acao,id_executor,cnpj_executor,nome_executor,objeto_executor
83398,38161,83021865000161,MUNICIPIO DE QUILOMBO,PAVIMENTAÇÃO EM TRECHOS DE ESTRADAS VICINAIS DE QUILOMBO/SC
78012,39470,08740466000135,MUNICIPIO DE PEDRA LAVRADA,"Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB"
75539,38219,13658158000103,MUNICIPIO DE ARATACA,"Construção de Centro Comunitário Esportivo na sede do Município de Arataca/BA, compreendendo a execução de pavimentação em piso de concreto intertravado, implantação de paisagismo, instalação de academia ao ar livre e edificação de ponto de apoio com banheiros. A intervenção tem por finalidade qualificar a infraestrutura urbana, ampliando os espaços públicos de esporte e lazer promovendo maior integração social."
84071,42980,03579836000180,MUNICIPIO DE ALTO ARAGUAIA,"Pavimentação tipo TSD na rua Edmundo Vieira de Freitas Sobrinho, bairro Aeroporto com travessia para o bairro professora Maria das Graças de Souza Pinto no município de Alto Araguaia - MT."
79653,40080,18431312000115,MUNICIPIO DE UBERLANDIA,"A presente ação tem como objeto a requalificação do mercado anexo Municipal de Uberlândia/MG, enquadrada na dotação orçamentária de construção e melhoria de edificações públicas. O projeto visa modernizar a infraestrutura do espaço do mercado destinado ao comércio popular, promovendo adequações físicas na estrutura do mercado, acessibilidade e funcionais que garantam melhores condições de trabalho aos comerciantes.
A iniciativa busca ainda oferecer maior conforto, segurança e acessibilidade aos consumidores, contribuindo para a organização do comércio, valorização do centro urbano e fortalecimento da economia local. Com a melhoria da estrutura, espera-se estimular o desenvolvimento econômico do município, gerando benefícios diretos tanto para os trabalhadores quanto para a população que utiliza o espaço.
Apoio a projetos e obras de reabilitação, acessibilidade e modernização tecnológica em áreas urbanas. A ação prevê a elaboração e a execução de obras de implantação, ampliação, restauração, reforma e/ou adaptação de espaços e logradouros públicos urbanos.
"
83591,37588,12207411000131,MUNICIPIO DE OLHO D'AGUA GRANDE,Implantação de passagens molhadas em estradas vicinais no município de Olho D'Água Grande – AL
76173,43087,12240956000140,FUNDO MUNICIPAL DE SAUDE,"Custeio de ações e serviços de Atenção Primária à Saúde, com foco no fortalecimento da Estratégia Saúde da Família, ampliação o acesso à assistência e qualificação da atenção prestada à população do Município de Ferraz de Vasconcelos/SP."
83885,38782,83102434000120,MUNICIPIO DE PRESIDENTE GETULIO,"Aquisição de uma retroescavadeira para a secretaria municipal de obras, destinada melhoria dos serviços urbanos no município de Presidente Getúlio.
RETROESCAVADEIRA NOVA. TIPO A. ZERO HORA. COM TRAÇÃO 4X4, CABINE FECHADA, AR-CONDICIONADO, CAÇAMBAS CARREGADEIRA DE 1,1M³ E ESCAVADEIRA DE 0,26M³, PROFUNDIDADE MÁXIMA DE ESCAVAÇÃO DE 4.540 MM, PESO OPERACIONAL DE 8.185 KG, TRANSMISSÃO DE 4 MARCHAS À FRENTE E 4 À RÉ."
76896,39518,05193115000163,MUNICIPIO DE SAO DOMINGOS DO CAPIM,REFORMA DE TRÊS ESCOLAS MUNICIPAIS EM SÃO DOMINGOS DO CAPIM/PA
77998,41187,11034741000100,MUNICIPIO DE CALCADO,35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE.
