id_executor,id_meta,sequencial_meta,desc_meta,un_medida_meta,qt_uniade_meta,vl_custeio_emenda_especial_meta,vl_investimento_emenda_especial_meta,vl_custeio_recursos_proprios_meta,vl_investimento_recursos_proprios_meta,vl_custeio_rendimento_meta,vl_investimento_rendimento_meta,vl_custeio_doacao_meta,vl_investimento_doacao_meta,qt_meses_meta
38161,83871,1,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Janeiro, situada na zona rural.",M2,2244,0,200000,0,0,0,0,0,0,36
38161,84281,2,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Consoladora, situada na zona rural.",M2,2322,0,200000,0,0,0,0,0,0,36
38161,84282,3,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Venturin, situada na zona rural.",M2,1824,0,200000,0,0,0,0,0,0,36
38161,84283,4,"Execução de pavimentação com pedras irregulares em parte de estrada vicinal localizada na Linha Santa Lúcia, situada na zona rural.",M2,4210,0,390000,0,0,0,0,0,0,36
39470,85614,1,"Pavimentação em Paralelepípedo das Ruas Juvenal Ferreira Dantas, Maria da Guia Vasconcelos e Sabino Ferreira de Vasconcelos, Localizadas na Zona Urbana do Município de Pedra Lavrada - PB",M2,6320,0,495000,0,0,0,0,0,0,36
38219,83945,1,Construção de Centro Comunitário Esportivo na Sede do Município de Arataca/BA,M2,450,0,495000,0,0,0,0,0,0,12
42980,91420,1,"Implantação de pavimentação urbana em travessia, com extensão de cerca de 415m, contemplando terraplanagem, drenagem, pavimentação asfáltica, passeio público e sinalização.",M,415,0,1188000,0,10000,0,2000,0,0,24
40080,86456,1,REQUALIFICAÇÃO DO MERCADO MUNICIPAL ANEXO,UN,1,0,396000,0,0,0,0,0,0,36
37588,83118,1,Implantação De Passagem Molhada Em Estradas Vicinais no Municipio ee Olho Dagua Grande - AL,UN,1,0,396000,0,0,0,0,0,0,36
43087,91569,1,"Execução dos serviços de Atenção Primária à Saúde nas Unidades Básicas de Saúde, mediante contrato de gestão firmado com a Organização Social de Saúde.",UN,1,3148200,0,0,0,0,0,0,0,48
38782,84646,1,Aquisição de uma retroescavadeira.,UN,1,0,297000,0,0,0,0,0,0,36
39518,85669,1,"REFORMA DA ESCOLA VEREADOR CANDIDO LOPES DE OLIVEIRA (elétrica geral, hidráulica geral, pintura geral, forro, revisão em telhados, limpeza geral  )",M2,1624,575000,0,0,0,0,0,0,0,36
39518,107354,2,"REFORMA DA ESCOLA IZABEL CUNHA (elétrica geral, hidráulica geral, pintura geral, forro, revisão em telhados, limpeza geral)",M2,495,382000,0,0,0,0,0,0,0,36
39518,107355,3,"REFORMA DA ESCOLA NOSSA SENHORA DO LIVRAMENTO II (elétrica geral, hidráulica geral, pintura geral, forro, revisão em telhados, limpeza geral)",M2,415,528000,0,0,0,0,0,0,0,36
41187,88337,1,35º FESTIVAL DA LAVOURA NO MUNICÍPIO DE CALÇADO/PE.,UN,1,495000,0,0,0,0,0,0,0,12
40779,87578,1,Aquisição de Veículos tipo Motocicleta,UN,52,0,594000,0,0,0,0,0,0,36
44023,93115,1,"CONSTRUÇÃO DE PONTE EM CONCRETO ARMADO NA AVENIDA REAL – ENTRE O SETOR BREJINHO E BOM RETIRO – ZONA URBANA DE CAMPOS BELOS-GO; DIMENSÕES DA PONTE: 6X11=66,00 M²",M2,66,0,396000,0,0,0,0,0,0,36
42908,91272,1,Pavimentação em paralelo em diversos bairros no Município de Santa Rita/PB (Extensão estimada em: 750 M²),M2,750,0,990000,0,0,0,0,0,0,36
42432,90386,1,Requalificação de Telhado,M2,1600,0,160000,0,0,0,0,0,0,36
42432,104203,2,Requalificação de Piso,M2,1400,0,280000,0,0,0,0,0,0,36
42432,104209,8,Paredes,M2,1600,0,640000,0,0,0,0,0,0,36
42432,104210,9,Forro,M2,460,0,96000,0,0,0,0,0,0,36
42432,104204,3,Instalação Hidráulica,M,450,0,113000,0,0,0,0,0,0,36
42432,104205,4,Instalação Elétrica,UN,1,0,400000,0,0,0,0,0,0,36
42432,104206,5,Instalações de Climatização,UN,20,0,136000,0,0,0,0,0,0,36
