"id_plano_acao","codigo_plano_acao","ano_plano_acao","modalidade_plano_acao","situacao_plano_acao","cnpj_beneficiario_plano_acao","nome_beneficiario_plano_acao","uf_beneficiario_plano_acao","codigo_banco_plano_acao","codigo_situacao_dado_bancario_plano_acao","nome_banco_plano_acao","numero_agencia_plano_acao","dv_agencia_plano_acao","numero_conta_plano_acao","dv_conta_plano_acao","nome_parlamentar_emenda_plano_acao","ano_emenda_parlamentar_plano_acao","codigo_parlamentar_emenda_plano_acao","sequencial_emenda_parlamentar_plano_acao","numero_emenda_parlamentar_plano_acao","codigo_emenda_parlamentar_formatado_plano_acao","codigo_descricao_areas_politicas_publicas_plano_acao","descricao_programacao_orcamentaria_plano_acao","motivo_impedimento_plano_acao","valor_custeio_plano_acao","valor_investimento_plano_acao","id_programa"
83398,"09032025-083398",2025,"Especial","CIENTE","83021865000161","MUNICIPIO DE QUILOMBO","SC","104",4,"Caixa Econômica Federal",4626,"4",574881331,"5","Fabio Schiochet","2025","3980",1,"202539800001","202539800001-FABIO SCHIOCHET","15-Urbanismo / 451-Infraestrutura Urbana , 20-Agricultura / 608-Promoção da Produção Agropecuária , 26-Transporte / 782-Transporte Rodoviário",,,0,990000,23
76869,"09032025-076869",2025,"Especial","IMPEDIDO","13843842000157","MUNICIPIO DE CONCEICAO DO COITE","BA",,,,,,,,"Elmar Nascimento","2025","3091",1,"202530910001","202530910001-ELMAR NASCIMENTO",,,,0,1089000,23
78012,"09032025-078012",2025,"Especial","CIENTE","08740466000135","MUNICIPIO DE PEDRA LAVRADA","PB","104",4,"Caixa Econômica Federal",4916,"6",574881266,"1","Murilo Galdino","2025","4436",1,"202544360001","202544360001-MURILO GALDINO","15-Urbanismo / 451-Infraestrutura Urbana",,,0,495000,23
84071,"09032025-084071",2025,"Especial","CIENTE","03579836000180","MUNICIPIO DE ALTO ARAGUAIA","MT","104",4,"Caixa Econômica Federal",3431,"2",574881248,"3","Juarez Costa","2025","4154",4,"202541540004","202541540004-JUAREZ COSTA","15-Urbanismo / 451-Infraestrutura Urbana",,,0,1188000,23
79412,"09032025-079412",2025,"Especial","IMPEDIDO","13922570000180","MUNICIPIO DE ANDARAI","BA","001",1,"Banco do Brasil",1100,"2",,,"Lídice da Mata","2025","2468",9,"202524680009","202524680009-LÍDICE DA MATA","15-Urbanismo / 451-Infraestrutura Urbana",,"Impedido por falta de análise conclusiva no prazo estabelecido.",0,495000,23
83591,"09032025-083591",2025,"Especial","CIENTE","12207411000131","MUNICIPIO DE OLHO D'AGUA GRANDE","AL","104",4,"Caixa Econômica Federal",56,"6",574881273,"4","Isnaldo Bulhões Jr.","2025","4018",3,"202540180003","202540180003-ISNALDO BULHÕES JR.","15-Urbanismo / 451-Infraestrutura Urbana",,,0,396000,23
83885,"09032025-083885",2025,"Especial","CIENTE","83102434000120","MUNICIPIO DE PRESIDENTE GETULIO","SC","104",4,"Caixa Econômica Federal",4441,"5",574881334,"0","Ricardo Guidi","2025","4062",3,"202540620003","202540620003-RICARDO GUIDI","15-Urbanismo / 451-Infraestrutura Urbana , 15-Urbanismo / 452-Serviços Urbanos",,,0,297000,23
77796,"09032025-077796",2025,"Especial","IMPEDIDO","02070621000177","MUNICIPIO DE ARAGUACEMA","TO","104",1,"Caixa Econômica Federal",1141,"0",,,"Carlos Henrique Gaguim","2025","3068",10,"202530680010","202530680010-CARLOS HENRIQUE GAGUIM","15-Urbanismo / 452-Serviços Urbanos",,"Impedido por falta de análise conclusiva no prazo estabelecido.",0,990000,23
83014,"09032025-083014",2025,"Especial","CIENTE","01126143000107","MUNICIPIO DE CAMPOS BELOS","GO","104",4,"Caixa Econômica Federal",3722,"2",574881232,"7","Adriano do Baldy","2025","3900",12,"202539000012","202539000012-ADRIANO DO BALDY","15-Urbanismo / 451-Infraestrutura Urbana",,,0,396000,23
84062,"09032025-084062",2025,"Especial","CIENTE","09159666000161","SANTA RITA","PB","104",4,"Caixa Econômica Federal",1914,"3",574881269,"6","Daniella Ribeiro","2025","4141",4,"202541410004","202541410004-DANIELLA RIBEIRO","15-Urbanismo / 451-Infraestrutura Urbana",,,0,990000,23
