"id_empenho","id_minuta_empenho","numero_empenho","situacao_empenho","descricao_situacao_empenho","tipo_documento_empenho","descricao_tipo_documento_empenho","status_processamento_empenho","ug_responsavel_empenho","ug_emitente_empenho","descricao_ug_emitente_empenho","fonte_recurso_empenho","plano_interno_empenho","ptres_empenho","grupo_natureza_despesa_empenho","natureza_despesa_empenho","subitem_empenho","categoria_despesa_empenho","modalidade_despesa_empenho","cnpj_beneficiario_empenho","nome_beneficiario_empenho","uf_beneficiario_empenho","numero_ro_empenho","data_emissao_empenho","prioridade_desbloqueio_empenho","valor_empenho","id_plano_acao","codigo_ibge_municipio","codigo_ibge_uf"
"53661","2025NME000054567","2025NE000307","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252769","4","444041","43","INVESTIMENTO","40","83021865000161","MUNICIPIO DE QUILOMBO","SC","2025RO000380","2025-09-02","15","990000","83398","4214201","42"
"48710","2025NME000049616",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252621","4","444041","07","INVESTIMENTO","40","13843842000157","MUNICIPIO DE CONCEICAO DO COITE","BA",,"2025-07-29","6","1089000","76869","2908408","29"
"49297","2025NME000050203","2025NE000308","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","253147","4","444041","27","INVESTIMENTO","40","08740466000135","MUNICIPIO DE PEDRA LAVRADA","PB","2025RO000381","2025-09-02","26","495000","78012","2511103","25"
"54330","2025NME000055236","2025NE000318","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252892","4","444041","19","INVESTIMENTO","40","03579836000180","MUNICIPIO DE ALTO ARAGUAIA","MT","2025RO000391","2025-09-02","3","1188000","84071","5100300","51"
"50145","2025NME000051051",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252500","4","444041","07","INVESTIMENTO","40","13922570000180","MUNICIPIO DE ANDARAI","BA",,"2025-07-29","1","495000","79412","2901304","29"
"53852","2025NME000054758","2025NE000309","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252784","4","444041","03","INVESTIMENTO","40","12207411000131","MUNICIPIO DE OLHO D'AGUA GRANDE","AL","2025RO000382","2025-09-02","1437030","396000","83591","2705903","27"
"54149","2025NME000055055","2025NE000311","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252817","4","444041","43","INVESTIMENTO","40","83102434000120","MUNICIPIO DE PRESIDENTE GETULIO","SC","2025RO000384","2025-09-02","39","297000","83885","4214003","42"
"49201","2025NME000050107",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252612","4","444041","48","INVESTIMENTO","40","02070621000177","MUNICIPIO DE ARAGUACEMA","TO",,"2025-07-29","1","990000","77796","1701903","17"
"53284","2025NME000054190","2025NE000313","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252711","4","444041","15","INVESTIMENTO","40","01126143000107","MUNICIPIO DE CAMPOS BELOS","GO","2025RO000386","2025-09-02","78","396000","83014","5204904","52"
"54321","2025NME000055227","2025NE000320","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252881","4","444041","27","INVESTIMENTO","40","09159666000161","SANTA RITA","PB","2025RO000393","2025-09-02","178","990000","84062","2513703","25"
"52167","2025NME000053073",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252493","4","444041","19","INVESTIMENTO","40","03133097000107","ALTO GARÇAS","MT",,"2025-07-29","64","1485043.56","81873","5100409","51"
"53652","2025NME000054558",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252763","4","444041","15","INVESTIMENTO","40","02367597000132","ALVORADA DO NORTE","GO",,"2025-07-29","102","198000","83389","5200803","52"
"48711","2025NME000049617",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252621","4","444041","07","INVESTIMENTO","40","13843842000157","MUNICIPIO DE CONCEICAO DO COITE","BA",,"2025-07-29","6","990000","76870","2908408","29"
"54617","2025NME000055523","2025NE000314","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252944","4","444041","48","INVESTIMENTO","40","37420676000144","MUNICIPIO DE CENTENARIO","TO","2025RO000387","2025-09-02","191","396000","84366","1704105","17"
"54636","2025NME000055542","2025NE000315","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252944","4","444041","48","INVESTIMENTO","40","02087211000139","MUNICIPIO DE XAMBIOA","TO","2025RO000388","2025-09-02","160","396000","84385","1722107","17"
"54186","2025NME000055092","2025NE000322","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252821","4","444041","39","INVESTIMENTO","40","87612990000105","MUNICIPIO DE CERRO LARGO","RS","2025RO000395","2025-09-02","76","396000","83922","4305207","43"
"47654","2025NME000048560",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252599","3","334041","39","CUSTEIO","40","90152299000192","AMARAL FERRADOR","RS",,"2025-07-29","137","198000","80580","4300638","43"
"54281","2025NME000055187","2025NE000324","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252862","4","444041","17","INVESTIMENTO","40","06214258000177","SÃO BENTO","MA","2025RO000397","2025-09-02","22","792000","84018","2110500","21"
"54194","2025NME000055100","2025NE000326","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252821","4","444041","39","INVESTIMENTO","40","87897740000150","MUNICIPIO DE SANTIAGO","RS","2025RO000399","2025-09-02","95","396000","83930","4317400","43"
"54903","2025NME000055809","2025NE000327","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252989","4","444041","43","INVESTIMENTO","40","01612116000144","MUNICIPIO DE CUNHATAI","SC","2025RO000400","2025-09-02","10","495000","84657","4204756","42"
"45665","2025NME000046571",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252649","3","334041","07","CUSTEIO","40","13607213000128","AMÉLIA RODRIGUES","BA",,"2025-07-29","55","495000","76300","2901106","29"
"54188","2025NME000055094","2025NE000328","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252821","4","444041","39","INVESTIMENTO","40","90738196000109","MUNICIPIO DE IJUI","RS","2025RO000401","2025-09-02","83","396000","83924","4310207","43"
"54173","2025NME000055079","2025NE000330","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252821","4","444041","39","INVESTIMENTO","40","87613071000148","MUNICIPIO DE SANTO ANGELO","RS","2025RO000403","2025-09-02","4","495000","83909","4317509","43"
"52103","2025NME000053009",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252487","4","444041","43","INVESTIMENTO","40","82826462000127","MUNICIPIO DE ARROIO TRINTA","SC",,"2025-07-29","119","396000","81809","4201604","42"
"47820","2025NME000048726","2025NE005095","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","253234","4","444041","47","INVESTIMENTO","40","13111679000138","MUNICIPIO DE NEOPOLIS","SE","2025RO005177","2025-10-17","45","792000","76261","2804409","28"
"51784","2025NME000052690",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252574","4","444041","33","INVESTIMENTO","40","01612558000190","BELA VISTA DO PIAUÍ","PI",,"2025-07-29","88","396000","81481","2201556","22"
"52358","2025NME000053264",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252524","4","444041","27","INVESTIMENTO","40","08940702000167","BOA VENTURA","PB",,"2025-07-29","79","396000","82067","2502102","25"
"47917","2025NME000048823",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252728","4","444041","05","INVESTIMENTO","40","04628020000162","ANAMÃ","AM",,"2025-07-29","32","396000","76383","1300086","13"
"53754","2025NME000054660",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252777","4","444041","27","INVESTIMENTO","40","09070400000148","BORBOREMA","PB",,"2025-07-29","4","396000","83493","2502706","25"
"48940","2025NME000049846",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252933","4","444041","23","INVESTIMENTO","40","18307512000160","MUNICIPIO DE VIRGINOPOLIS","MG",,"2025-07-29","86","990000","77267","3171808","31"
"46486","2025NME000047392",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252882","3","334041","37","CUSTEIO","40","01613858000194","MUNICIPIO DE SERRINHA DOS PINTOS","RN",,"2025-07-29","58","198000","77336","2413557","24"
"48996","2025NME000049902",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252882","4","444041","37","INVESTIMENTO","40","08204497000171","MUNICIPIO DE EXTREMOZ","RN",,"2025-07-29","10","990000","77363","2403608","24"
"53717","2025NME000054623",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252775","4","444041","23","INVESTIMENTO","40","17709197000135","MUNICIPIO DE ALEM PARAIBA","MG",,"2025-07-29","15","198000","83456","3101508","31"
"52938","2025NME000053844",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252634","4","444041","25","INVESTIMENTO","40","04838793000173","MUNICIPIO DE ALENQUER","PA",,"2025-07-29","11","1188000","82650","1500404","15"
"49043","2025NME000049949",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252660","4","444041","07","INVESTIMENTO","40","14235899000136","VALENÇA","BA",,"2025-07-29","88","396000","77462","2932903","29"
"51525","2025NME000052431",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","253144","4","444041","13","INVESTIMENTO","40","27142686000101","MUNICIPIO DE ALFREDO CHAVES","ES",,"2025-07-29","38","396000","81198","3200300","32"
"49355","2025NME000050261",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252729","4","444041","45","INVESTIMENTO","40","47842836000105","MUNICIPIO DE FERNANDOPOLIS","SP",,"2025-07-29","19","1188000","78139","3515509","35"
"46353","2025NME000047259","2025NE004441","4","Enviado","1","Empenho Original","ENVIADA","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252977","3","334041","23","CUSTEIO","40","01612484000192","MUNICIPIO DE SANTO ANTONIO DO RETIRO","MG","2025RO004517","2025-09-26","68","386100","77002","3160454","31"
"53757","2025NME000054663",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252777","4","444041","27","INVESTIMENTO","40","09070400000148","BORBOREMA","PB",,"2025-07-29","4","396000","83496","2502706","25"
"52399","2025NME000053305",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252529","4","444041","31","INVESTIMENTO","40","11256088000123","CAPOEIRAS","PE",,"2025-07-29","33","693000","82108","2603801","26"
"45676","2025NME000046582",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252717","3","334041","31","CUSTEIO","40","11256088000123","CAPOEIRAS","PE",,"2025-07-29","52","594000","76488","2603801","26"
"45706","2025NME000046612",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252475","3","334041","29","CUSTEIO","40","01612269000191","ESPERANÇA NOVA","PR",,"2025-07-29","19","1980000","76499","4107520","41"
"51432","2025NME000052338",,"1","Minuta de Empenho","1","Empenho Original","AGUARDANDO_GERACAO_EMPENHO","170860","170860","COORD. ANALISE E INF TRANS FIN INTERGOV/STN","1000000000","T.ESPECIAIS","252486","4","443041","21","INVESTIMENTO","30","15412257000128","ESTADO DE MATO GROSSO DO SUL","MS",,"2025-07-29","1","2970000","81094",,"50"
