"id_dh","id_minuta_documento_habil","numero_documento_habil","situacao_dh","descricao_situacao_dh","tipo_documento_dh","ug_emitente_dh","descricao_ug_emitente_dh","data_vencimento_dh","data_emissao_dh","ug_pagadora_dh","descricao_ug_pagadora_dh","variacao_patrimonial_diminuta_dh","passivo_transferencia_constitucional_legal_dh","centro_custo_empenho","codigo_siorg_empenho","mes_referencia_empenho","ano_referencia_empenho","ug_beneficiada_dh","descricao_ug_beneficiada_dh","valor_dh","valor_rateio_dh","id_empenho"
21258,"2020MDH00000176","2020TF000265",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",80000,,3653
21257,"2020MDH00000175","2020TF000264",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",30000,,4904
21179,"2020MDH00000097","2020TF000188",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",1e+05,,4121
22553,"2020MDH00001471","2020TF001500",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",150000,,3932
22078,"2020MDH00000996","2020TF001042",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",1e+05,,3659
22556,"2020MDH00001474","2020TF001503",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",3e+05,,4531
22416,"2020MDH00001334","2020TF001370",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",1e+05,,4785
21553,"2020MDH00000471","2020TF000547",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",3e+05,,4560
21415,"2020MDH00000333","2020TF000418",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",250000,,3552
21726,"2020MDH00000644","2020TF000714",3,"Enviado com Sucesso","TF",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","2020-06-24","2020-06-25",170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN","352450300","218952502","STNTRCON",105930,"06",2020,170860,"COORD. ANALISE E INF TRANS FIN INTERGOV/STN",250000,,4306
