"id_historico_op_ob","data_hora_historico_op","historico_situacao_op","descricao_historico_situacao_op","id_op_ob"
147097,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40050
149797,"2025-09-09T10:40:40.25917",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40050
153331,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40050
148354,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",41307
151054,"2025-09-09T11:50:18.190585",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41307
151756,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",41307
147578,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40531
150278,"2025-09-09T11:07:01.131458",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40531
153673,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40531
147174,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40127
149874,"2025-09-09T10:44:48.939251",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40127
153423,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40127
147315,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40268
150015,"2025-09-09T10:52:32.397214",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40268
153403,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40268
146897,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39850
149597,"2025-09-09T10:29:38.303045",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39850
153130,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",39850
147529,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40482
150229,"2025-09-09T11:04:18.070459",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40482
153689,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40482
147854,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40807
150554,"2025-09-09T11:22:28.302009",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40807
154076,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40807
147846,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40799
150546,"2025-09-09T11:22:02.934087",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40799
153961,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40799
147339,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40292
150039,"2025-09-09T10:53:50.232543",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40292
152049,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40292
147477,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40430
150177,"2025-09-09T11:01:18.590304",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40430
153469,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40430
147347,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40300
150047,"2025-09-09T10:54:15.913814",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40300
152057,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40300
148007,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40960
150707,"2025-09-09T11:30:54.663495",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40960
153903,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40960
147344,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40297
150044,"2025-09-09T10:54:06.488942",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40297
152054,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40297
147336,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",40289
150036,"2025-09-09T10:53:40.474115",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",40289
153433,"2025-09-09T15:29:58.710808",5,"OB Enviada à instituição bancária para pagamento",40289
162043,"2025-09-29T18:27:55.048297",1,"Aguardando Envio para o SIAFI",43719
162697,"2025-09-29T19:12:47.915711",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",43719
154301,"2025-09-11T16:46:49.075998",1,"Aguardando Envio para o SIAFI",41756
155940,"2025-09-11T17:10:17.839969",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",41756
157622,"2025-09-11T19:00:00.746328",4,"OP Assinada mas sem OB gerada",41756
159267,"2025-09-12T08:29:59.802645",5,"OB Enviada à instituição bancária para pagamento",41756
146213,"2025-09-09T09:20:34.144939",1,"Aguardando Envio para o SIAFI",39166
148913,"2025-09-09T09:50:57.56372",3,"Aguardando assinaturas do ordenador de despesas e/ou gestor financeiro",39166
