"id_relatorio_gestao","situacao_relatorio_gestao","parecer_relatorio_gestao","id_plano_acao"
1036,"DISPONIBILIZADO","Com os recursos desta emenda foram adquiridos equipamentos para Sec.de Agricultura e Obras, sendo: 1 roçadeira hidráulica articulada, 1 distribuidor de adubo organico líquido 5.000 litros, 2 grampos raspador 19 dentes 2,50m, 1 perfurador hidráulico de solo, 1 betoneira de 250 litros, 1 compressor, 1 furadeira profissional, 1 gerador a gasolina, 1 motopoda profissional, 1 motossera profissional, 1 pulverizador elétrico e 1 serra esquadria de bancada.  Estes equipamentos são utilizados para atendimentos das necessidades, especialmente da zona rural, e serviços gerais do Município. São equipamentos guardados na Garagem Municipal, com os demais equipamentos e veículos do Município.",3206
1246,"DISPONIBILIZADO","Buscando a transparência na execução do valor recebido, informo que o mesmo foi utilizado para obra de reforma da Escola Municipal Paulo VI no município de Vianopolis/GO, realizada por empresa contratada através de processo licitatório e seguindo as exigências da lei, executada em conformidade com o projeto dentro período previsto, bem como toda execução financeira do referido recurso. Envio anexo a documentação comprobatória da despesa total. ",3244
1168,"DISPONIBILIZADO","O Recurso foi usado para aquisição de materiais para execução de Lama Asfáltica e para contratação de empresa especializada em execução de Lama Asfáltica no município, conforme as especificações relacionadas no pregão 011/2020; ata de registro e preço nº 007/2020, e Tomada de Preços nº 004/2020, conforme documentos anexos. Informamos que o objeto encontra-se finalizado, desse modo inserimos prestação de contas.",3224
475,"EM_ELABORACAO","Reforma da Casa da Cultura Professora Maria Lindaura Catunda de Farias
Pavimentação da Rua Urias Moreira da Silva 
Revitalização do Espaço Recreativo Judite Brandão",3205
1005,"DISPONIBILIZADO","Após procedimentos Licitatórios que tiveram como vencedor do caminhão a Empresa Minasmaquinas e o Tanque isotérmico a Empresa Friodnox conforme Notas Fiscais, Notas de Empenho e Notas de Liquidação que iremos inserir abaixo nos anexos.  Incluiremos em anexo também o Termo de Cooperação entre o Município de Juiz de Fora e Associação de Produtores Rurais de Pirapetinga.",3237
2087,"DISPONIBILIZADO","Prestação de contas",3225
15303,"DISPONIBILIZADO","Pavimentação asfáltica em CBUQ na Rua Alemano Antoniazzi",3203
172,"DISPONIBILIZADO","PAVIMENTAÇÃO ASFÁLTICA MORRO DA SOLEDADE, MUNICÍPIO DE CARBONITA/MG. ",3241
729,"DISPONIBILIZADO","O objeto deste projeto teve sua execução 100% concluída, não havendo dificuldades na execução deste.
Características do objeto - Pavimentação com Pedra Irregulares de Basalto, na Rua Porto Alegre.
Extensão: 330,000 metros - Área de 3039,52m2.
Os documentos comprobatórios de execução estão disponíveis na aba ""anexos"".

O saldo remanescente, incluindo rendimentos, foi utilizado para a complementação de outra obra, sendo esta pavimentação do tipo calçamento com pedras irregulares de basalto em trecho da Rua Matriz, também realizada com recursos de emenda (Transferência especial).",3204
896,"DISPONIBILIZADO"," PRESTAÇÃO DE CONTAS DA EMENDA ESPECIAL: SEGUE EM ANEXO DOCUMENTOS DA 
TOMADA DE PREÇO  Nº 15/2020 -OBJETO: RECUPERAÇÃO ASFÁLTICA SANTA ESMERALDA 
TOMADA DE ´PREÇO Nº 16/2020 - OBJETO: PAVIMENTAÇÃO EM RUAS DA SEDE DE S.C.M.C
TOMADA DE PREÇO Nº 17/2020 - OBJETO: REFORMA DAS RODOVIÁRIA
TOMADA DE PREÇO Nº 18/2020 - OBJETO: REFORMA DO GINÁSIO DE ESPORTES
FOLHAS DE PAGAMENTO 

",3265
