"id_relatorio_gestao_novo","data_e_hora_relatorio_gestao_novo","tipo_relatorio_gestao_novo","valor_executado_relatorio_gestao_novo","valor_pendente_relatorio_gestao_novo","situacao_relatorio_gestao_novo","id_plano_acao"
5577,"2025-09-16T09:11:08.14621","Parcial",0,396000,"EM_ELABORACAO",84333
5600,"2025-09-18T10:12:58.526718","Parcial",0,670000,"DISPONIBILIZADO",80805
5560,"2025-09-09T17:47:41.905547","Parcial",0,396802.89,"EM_ELABORACAO",76376
5541,"2025-09-01T10:17:11.285799","Parcial",0,396000,"EM_ELABORACAO",81297
5542,"2025-09-01T10:21:23.893869","Parcial",0,396000,"EM_ELABORACAO",83184
5570,"2025-09-15T08:11:55.540186","Parcial",0,198000,"EM_ELABORACAO",83246
5601,"2025-09-18T11:36:29.0699","Parcial",0,495000,"EM_ELABORACAO",83287
5603,"2025-09-18T12:02:07.775377","Parcial",0,495000,"EM_ELABORACAO",83869
5543,"2025-09-01T10:25:00.897789","Parcial",0,396000,"EM_ELABORACAO",84322
5573,"2025-09-15T09:56:20.927955","Parcial",0,693000,"EM_ELABORACAO",84750
5578,"2025-09-16T09:12:41.083797","Parcial",0,1188000,"EM_ELABORACAO",84680
5576,"2025-09-16T09:09:51.077265","Parcial",0,396000,"EM_ELABORACAO",81806
5574,"2025-09-15T09:57:33.984462","Parcial",0,693000,"EM_ELABORACAO",83410
5588,"2025-09-17T10:33:02.318591","Parcial",0,396000,"EM_ELABORACAO",80055
5602,"2025-09-18T12:00:24.75754","Parcial",0,4950000,"EM_ELABORACAO",83390
5567,"2025-09-19T14:16:51.426216","Parcial",0,2772000,"EM_ELABORACAO",75780
5596,"2025-09-17T18:23:34.330117","Parcial",0,1188000,"DISPONIBILIZADO",75773
