"id_executor","id_meta","sequencial_meta","nome_meta","desc_meta","un_medida_meta","qt_uniade_meta","vl_custeio_emenda_especial_meta","vl_investimento_emenda_especial_meta","vl_custeio_recursos_proprios_meta","vl_investimento_recursos_proprios_meta","vl_custeio_rendimento_meta","vl_investimento_rendimento_meta","vl_custeio_doacao_meta","vl_investimento_doacao_meta","qt_meses_meta"
34208,71563,1,"Meta 1","Urbanização municipal da praça central pública e da praça da bíblia, na zona urbana no município de Pau D’ Arco do Piauí","UN",1,0,80000,0,0,0,0,0,0,6
34208,71564,2,"Meta 2","Aquisição de medicamentos, materiais e insumos laboratoriais, manutenção de consultório odontológico, bem como aquisição de peças para manutenção da frota de veículos vinculados aos serviços de saúde do município.","UN",1,30000,0,0,0,0,0,0,0,6
12685,19790,1,"Meta 1","Roçadeira Hidráulica articulada RHA 150, acoplamento aos tratores agrícolas pelo sistema hidráulico tres pontos com acionamento pela tomada.  de força","UN",1,0,36899,0,0,0,0,0,0,2
12685,66886,2,"Meta 2","Perfurador hidráulico de solo, 60 a 90 perfurações por hora, com 3 brocas de tamanhos 200x1500mm, 300x1500mm, 400x1500mm, rotação da broca 128rpm. ","UN",1,0,4800,0,0,0,0,0,0,2
12685,66887,3,"Meta 3","Compressor 20 pés CSV 20 pés 200L 175 Libras, 5 potencia do motor,. ","UN",1,0,4817,0,0,0,0,0,0,2
12685,66888,4,"Meta 4","Motopoda Profissional: Potencia 1.4/1.9 cilindrada 36,3 potencia do motor 1.4 peso, comprimento total 270cm ","UN",1,0,2948,0,0,0,0,0,0,2
12685,66889,5,"Meta 5","Motoserra Profissional: capacidade do tanque de combustivel 0.685 cilindrada 59 corrente 2,9/3.6 nivel de potencia sonora ","UN",1,0,2790,0,0,0,0,0,0,2
12685,66890,6,"Meta 6","Pulverizador costal elétrico a bateria e manual, com fonte transformadora Bivolt , pressao maxima 4 bar, vazao maxima liquido 2,9 litros. ","UN",1,0,400,0,0,0,0,0,0,2
12685,66891,7,"Meta 7","Betorneira com capacidade de 250 litros, 220V, capacidade de litros 265/200, motor 1750/26 ","UN",1,0,3216.6,0,0,0,0,0,0,2
12685,66892,8,"Meta 8","Gerador a gasolina, potencia do motor 15HP, capacidade de oleo 1100ml manual elétrica, frequencia 60HZ ","UN",1,0,4595,0,0,0,0,0,0,2
12685,66893,9,"Meta 9","Distribuidor de adubo organico liquido a vacuo DLV 5000 litros tanque constituido em galvanização grossura da chapa 4,25 mm, abertura traseira total. ","UN",1,0,30700,0,0,0,0,0,0,2
12685,69232,10,"Meta 10","Furadeira Profissional dupla isolação potencia 710w ","UN",1,0,595,0,0,0,0,0,0,2
12685,69233,11,"Meta 11","Serra esquadria de bancada potencia 1500w ","UN",1,0,1545,0,0,0,0,0,0,2
12685,69234,12,"Meta 12","Grampo raspador 19 dentes 2,5 metros modelo GAH20X24. ","UN",2,0,6694.4,0,405.6,0,0,0,0,2
25731,39423,1,"Meta 1","Reforma de escola,.","UN",1,0,150000,0,0,0,0,0,0,24
17134,26276,1,"Meta 1","Aquisição de Equipamentos","UN",1,0,1e+05,0,0,0,0,0,0,12
6814,10107,1,"Meta 1","O Recurso foi usado para aquisição de materiais para execução de Lama Asfáltica e para contratação de empresa especializada em execução de Lama Asfáltica no município, ","M2",107257860,0,3e+05,0,0,0,0,0,0,3
23707,36870,1,"Meta 1","Aquisição de equipamentos para prédio público","UN",1,0,1e+05,0,0,0,0,0,0,36
31554,59802,1,"Meta 1","EXECUÇÃO DE REFORMA EM ÁREA URBANA DO PRÉDIO Casa da Cultura","UN",1,0,118628.75,0,0,0,0,0,0,36
31554,59803,2,"Meta 2","Pavimentação Urbana da Rua Urias Moreira da Silva","M2",580,0,68203.01,0,0,0,0,0,0,36
31554,59804,3,"Meta 3","Revitalização Urbana com implantação de pavimentação em piso intertravado e instalações de bancos e brinquedos; colocação de grama, arvores ornamentais e postes de iluminação do Espaço Recreativo Judite Brandão ","M2",1082000,0,99206.05,0,0,0,0,0,0,36
31554,78517,4,"Meta 4","SALDO EM CONTA","UN",1,0,13962.19,0,0,0,0,0,0,36
1897,2634,1,"Meta 1","Pavimentação e recuperação de vias no município de Lajes/RN","UN",1,0,250000,0,0,0,0,0,0,36
7696,11380,1,"Meta 1","Aquisição de Caminhão Tração 4X2,156CV 4 Cilindros","UN",1,0,191300,0,22286.45,0,0,0,0,12
