"id_plano_trabalho","situacao_plano_trabalho","ind_orcamento_proprio_plano_trabalho","data_inicio_execucao_plano_trabalho","data_fim_execucao_plano_trabalho","prazo_execucao_meses_plano_trabalho","id_plano_acao","classificacao_orcamentaria_pt","ind_justificativa_prorrogacao_atraso_pt","ind_justificativa_prorrogacao_paralizacao_pt","justificativa_prorrogacao_pt"
35419,"APROVADO","Sim","2025-09-09T00:00:00","2028-09-09T00:00:00",36,83398,"PAVIMENTAÇÃO
Órgão: 11.000 Secretaria Municipal de Transportes e Obras
Unidade: 11.001 Departamento Municipal de Obras
Função: 15 - Urbanismo
Subfunção: 451 - Infraestrutura
Programa: 0025 - Quilombo Mais Obras
Ação: 1.057 – Pavimentação, Passeios e Demais Obras de Infraestrutura em Transportes
Natureza da Despesa: 4.4.90 – Despesas de Capital
Recurso: 1.706.3110.1176 – Emendas Parlamentares Individuais
",FALSE,FALSE,""
36742,"APROVADO","Sim","2025-09-09T00:00:00","2028-09-09T00:00:00",36,78012,"07.00 SEC INFRAESTRUTURA
15.451.2003.1022 PAVIMENTAR E DRENAR RUAS E AVENIDAS
4.4.90.51.01 OBRAS E INSTALAÇÕES",FALSE,FALSE,""
40180,"APROVADO","Sim","2025-09-09T00:00:00","2027-09-09T00:00:00",24,84071,"06- Secretaria de Infraestrutura e Serviços Urbanos
003 - Secretaria de Infraestrutura e Serviços Urbanos
15.451.0009.1012 - Pavimentação e Recuperação de ruas 
4.4.90.51.00.00 - Obras e Instalações
Fonte de Recurso: 1706.31100000 - Transferências da União Decorrentes de Emendas Parlamentares Individuais ",FALSE,FALSE,""
34266,"Em Complementação","Sim",,,36,79412,"Unidade: 02.07.000
Ação: 15.451.007.1031 CONSTRUÇÃO E REVITALIZAÇÃO  DE VIAS PÚBLICAS, DE PRAÇAS, PARQUES  E  JARDINS
Elemento de Despesa: 4.4.9.0.51.00.000000  Obras e Instalações",FALSE,FALSE,""
34779,"APROVADO","Sim","2025-09-09T00:00:00","2028-09-09T00:00:00",36,83591,"09 - SECRETARIA MUNICIPAL OBRAS E URBANISMO
0500 - Superintendencia de Manutencao de Estradas Vicinai
09.0500.26.782.00011.002 - CONSTRUCAO DE PONTES, BUEIRAS, PASSAGEM MOLHADA E PONTOS DE ONIBUS
4.4.9.0.51.00.00.00.0000 OBRAS E INSTALACOES",FALSE,FALSE,""
36056,"APROVADO","Não","2025-09-09T00:00:00","2028-09-09T00:00:00",36,83885,"",FALSE,FALSE,""
35928,"Em Complementação","Sim",,,24,77796,"Classificação orçamentária:
Unidade Orçamentária: 03.06.00 SECRETARIA DE INFRAESTRUTURA, URBANISMO E HABITAÇÃO
Òrgão: 03.06.00 SECRETARIA DE INFRAESTRUTURA, URBANISMO E HABITAÇÃO
Função: 15 Urbanismo
Subfunção: 451 Infraestrutura 
Programa: 0003
Atividade:2.012
Natureza de despesa: 4.4.90.51
",FALSE,FALSE,""
41168,"APROVADO","Sim","2025-09-09T00:00:00","2028-09-09T00:00:00",36,83014,"Ficha: 192
Órgão: 10 – Município de Campos Belos
Unidade: 05 – Secretaria de Infraestrutura, Transporte e Obras
Função: 26 - Transporte
Subfunção: 782 - Transporte
Programa: 023 – Serviços de Transportes
Projeto/Atividade: 1.061 – Construção de Pontes e Bueiros
Natureza da Despesa: 4.4.90.51 Obras e Instalações

",FALSE,FALSE,""
40107,"APROVADO","Sim","2025-09-09T00:00:00","2028-09-09T00:00:00",36,84062,"02.141 FUNDO MUNICIPAL DE SANEAMENTO BÁSICO E INFRAESTRUTURA URBANA
15 451 1012 1043 - PAVIMENTAÇÃO E DRENAGEM PLUVIAL
4490.5100 OBRAS E INSTALAÇÕES",FALSE,FALSE,""
35179,"Em Complementação","Sim",,,36,81873,"ÓRGÃO: 08 SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL
FUNÇÃO: 08 ASSISTÊNCIA SOCIAL
PROGRAMA: 0090 ASSISTENCIA SOCIAL EM GERAL
UNIDADE: 001 SECRETARIA MUNICIPAL DE ASSISTENCIA SOCIAL
SUBFUNÇÃO: 244 ASSISTÊNCIA COMUNITÁRIA
AÇÃO: 10067 CONTRUÇÃO, REFORMA E AMPLIAÇÃO DOS PREDIOS DA GESTÃO SOCIAL
4.4.90.51.00.00 - OBRAS E INSTALAÇÕES
",FALSE,FALSE,""
43403,"Enviado para Análise","Sim",,,36,83389,"ÓRGÃO.....: FUNDO MUNICIPAL SAUDE ALVORADA DO NORTE CÓDIGO: 14
UNIDADE..: FUNDO MUNICIPAL DE SAUDE CÓDIGO: 14
 10 Saúde
302 Assistência Hospitalar e Ambulatorial
1.049 AQUISICAO DE AMBULANCIA
4.4.90.52 EQUIP. E MATERIAL PERMANENTE",FALSE,FALSE,""
38045,"APROVADO","Sim","2025-09-09T00:00:00","2028-09-09T00:00:00",36,84366,"451.15.539 - Pavimentação - Adequação de vias ",FALSE,FALSE,""
