"id_executor","cd_area_politica_publica_tipo_pt","area_politica_publica_tipo_pt","cd_area_politica_publica_pt","area_politica_publica_pt"
34208,15,"Urbanismo",451,"Infraestrutura Urbana "
34208,10,"Saúde",302,"Assistência Hospitalar e Ambulatorial"
12685,20,"Agricultura",605,"Abastecimento"
25731,12,"Educação",368,"Educação Básica"
17134,20,"Agricultura",605,"Abastecimento"
17134,20,"Agricultura",606,"Extensão Rural"
17134,20,"Agricultura",607,"Irrigação"
17134,20,"Agricultura",608,"Promoção da Produção Agropecuária"
17134,20,"Agricultura",609,"Defesa Agropecuária"
6814,15,"Urbanismo",451,"Infraestrutura Urbana "
6814,15,"Urbanismo",452,"Serviços Urbanos"
6814,15,"Urbanismo",453,"Transportes Coletivos Urbanos"
23707,6,"Segurança Pública",181,"Policiamento"
23707,6,"Segurança Pública",182,"Defesa Civil"
23707,6,"Segurança Pública",183,"Informação e Inteligência"
23707,8,"Assistência Social",241,"Assistência ao Idoso"
23707,8,"Assistência Social",242,"Assistência ao Portador de Deficiência"
23707,8,"Assistência Social",243,"Assistência à Criança e ao Adolescente"
23707,8,"Assistência Social",244,"Assistência Comunitária"
23707,10,"Saúde",301,"Atenção Básica"
23707,10,"Saúde",302,"Assistência Hospitalar e Ambulatorial"
23707,10,"Saúde",303,"Suporte Profilático e Terapêutico"
23707,10,"Saúde",304,"Vigilância Sanitária"
23707,10,"Saúde",305,"Vigilância Epidemiológica"
23707,10,"Saúde",306,"Alimentação e Nutrição"
23707,11,"Trabalho",331,"Proteção e Benefícios ao Trabalhador"
23707,11,"Trabalho",332,"Relações de Trabalho"
23707,11,"Trabalho",333,"Empregabilidade"
23707,11,"Trabalho",334,"Fomento ao Trabalho"
23707,12,"Educação",361,"Ensino Fundamental"
23707,12,"Educação",362,"Ensino Médio"
23707,12,"Educação",363,"Ensino Profissional"
23707,12,"Educação",364,"Ensino Superior"
23707,12,"Educação",365,"Educação Infantil"
23707,12,"Educação",366,"Educação de Jovens e Adultos"
23707,12,"Educação",367,"Educação Especial"
23707,12,"Educação",368,"Educação Básica"
23707,13,"Cultura",391,"Patrimônio Histórico, Artístico e Arqueológico"
23707,13,"Cultura",392,"Difusão Cultural"
23707,14,"Direitos da Cidadania",421,"Custódia e Reintegração Social"
23707,14,"Direitos da Cidadania",422,"Direitos Individuais, Coletivos e Difusos"
23707,14,"Direitos da Cidadania",423,"Assistência aos Povos Indígenas"
23707,15,"Urbanismo",451,"Infraestrutura Urbana "
23707,15,"Urbanismo",452,"Serviços Urbanos"
23707,15,"Urbanismo",453,"Transportes Coletivos Urbanos"
23707,16,"Habitação",481,"Habitação Rural"
23707,16,"Habitação",482,"Habitação Urbana"
23707,17,"Saneamento",511,"Saneamento Básico Rural"
23707,17,"Saneamento",512,"Saneamento Básico Urbano"
23707,18,"Gestão Ambiental",541,"Preservação e Conservação Ambiental"
23707,18,"Gestão Ambiental",542,"Controle Ambiental"
23707,18,"Gestão Ambiental",543,"Recuperação de Áreas Degradadas"
23707,18,"Gestão Ambiental",544,"Recursos Hídricos"
23707,18,"Gestão Ambiental",545,"Meteorologia"
23707,19,"Ciência e Tecnologia",571,"Desenvolvimento Científico"
23707,19,"Ciência e Tecnologia",572,"Desenvolvimento Tecnológico e Engenharia"
23707,19,"Ciência e Tecnologia",573,"Difusão do Conhecimento Científico e Tecnológico"
23707,20,"Agricultura",605,"Abastecimento"
23707,20,"Agricultura",606,"Extensão Rural"
23707,20,"Agricultura",607,"Irrigação"
23707,20,"Agricultura",608,"Promoção da Produção Agropecuária"
23707,20,"Agricultura",609,"Defesa Agropecuária"
23707,21,"Organização Agrária",631,"Reforma Agrária"
23707,21,"Organização Agrária",632,"Colonização"
23707,22,"Indústria",661,"Promoção Industrial"
23707,22,"Indústria",662,"Produção Industrial"
23707,22,"Indústria",663,"Mineração"
23707,22,"Indústria",664,"Propriedade Industrial"
23707,22,"Indústria",665,"Normalização e Qualidade"
23707,23,"Comércio e Serviços",691,"Promoção Comercial"
23707,23,"Comércio e Serviços",692,"Comercialização"
23707,23,"Comércio e Serviços",693,"Comércio Exterior"
23707,23,"Comércio e Serviços",694,"Serviços Financeiros"
23707,23,"Comércio e Serviços",695,"Turismo"
23707,25,"Energia",751,"Conservação de Energia"
23707,25,"Energia",752,"Energia Elétrica"
23707,25,"Energia",753,"Combustíveis Minerais"
23707,25,"Energia",754,"Biocombustíveis "
23707,26,"Transporte",781,"Transporte Aéreo"
23707,26,"Transporte",782,"Transporte Rodoviário"
23707,26,"Transporte",783,"Transporte Ferroviário"
23707,26,"Transporte",784,"Transporte Hidroviário"
23707,26,"Transporte",785,"Transportes Especiais"
23707,27,"Desporto e Lazer",811,"Desporto de Rendimento"
23707,27,"Desporto e Lazer",812,"Desporto Comunitário"
23707,27,"Desporto e Lazer",813,"Lazer"
31554,15,"Urbanismo",451,"Infraestrutura Urbana "
1897,15,"Urbanismo",451,"Infraestrutura Urbana "
7696,20,"Agricultura",608,"Promoção da Produção Agropecuária"
5837,15,"Urbanismo",451,"Infraestrutura Urbana "
1604,15,"Urbanismo",451,"Infraestrutura Urbana "
31079,15,"Urbanismo",451,"Infraestrutura Urbana "
26179,26,"Transporte",782,"Transporte Rodoviário"
17889,15,"Urbanismo",451,"Infraestrutura Urbana "
31272,15,"Urbanismo",451,"Infraestrutura Urbana "
18666,15,"Urbanismo",451,"Infraestrutura Urbana "
18781,15,"Urbanismo",451,"Infraestrutura Urbana "
7988,19,"Ciência e Tecnologia",571,"Desenvolvimento Científico"
7988,19,"Ciência e Tecnologia",572,"Desenvolvimento Tecnológico e Engenharia"
7988,19,"Ciência e Tecnologia",573,"Difusão do Conhecimento Científico e Tecnológico"
8122,23,"Comércio e Serviços",695,"Turismo"
8122,27,"Desporto e Lazer",813,"Lazer"
21270,12,"Educação",361,"Ensino Fundamental"
7708,26,"Transporte",782,"Transporte Rodoviário"
8039,15,"Urbanismo",451,"Infraestrutura Urbana "
8039,27,"Desporto e Lazer",812,"Desporto Comunitário"
8039,27,"Desporto e Lazer",813,"Lazer"
31292,15,"Urbanismo",451,"Infraestrutura Urbana "
16948,15,"Urbanismo",451,"Infraestrutura Urbana "
17869,15,"Urbanismo",451,"Infraestrutura Urbana "
35711,20,"Agricultura",608,"Promoção da Produção Agropecuária"
20769,15,"Urbanismo",451,"Infraestrutura Urbana "
33226,6,"Segurança Pública",181,"Policiamento"
3837,15,"Urbanismo",451,"Infraestrutura Urbana "
25516,15,"Urbanismo",451,"Infraestrutura Urbana "
25516,15,"Urbanismo",452,"Serviços Urbanos"
27583,15,"Urbanismo",451,"Infraestrutura Urbana "
22604,13,"Cultura",391,"Patrimônio Histórico, Artístico e Arqueológico"
22604,15,"Urbanismo",451,"Infraestrutura Urbana "
27696,17,"Saneamento",512,"Saneamento Básico Urbano"
30459,26,"Transporte",782,"Transporte Rodoviário"
32672,25,"Energia",752,"Energia Elétrica"
23407,15,"Urbanismo",451,"Infraestrutura Urbana "
31602,10,"Saúde",301,"Atenção Básica"
31148,10,"Saúde",301,"Atenção Básica"
31148,15,"Urbanismo",451,"Infraestrutura Urbana "
15772,15,"Urbanismo",452,"Serviços Urbanos"
33734,26,"Transporte",782,"Transporte Rodoviário"
12926,20,"Agricultura",606,"Extensão Rural"
36166,15,"Urbanismo",451,"Infraestrutura Urbana "
33783,6,"Segurança Pública",181,"Policiamento"
33910,15,"Urbanismo",451,"Infraestrutura Urbana "
33910,26,"Transporte",782,"Transporte Rodoviário"
18423,15,"Urbanismo",451,"Infraestrutura Urbana "
36252,15,"Urbanismo",451,"Infraestrutura Urbana "
36443,23,"Comércio e Serviços",695,"Turismo"
36518,15,"Urbanismo",451,"Infraestrutura Urbana "
330,15,"Urbanismo",451,"Infraestrutura Urbana "
28573,26,"Transporte",782,"Transporte Rodoviário"
29230,27,"Desporto e Lazer",812,"Desporto Comunitário"
16081,15,"Urbanismo",451,"Infraestrutura Urbana "
26326,15,"Urbanismo",451,"Infraestrutura Urbana "
29928,15,"Urbanismo",451,"Infraestrutura Urbana "
17411,15,"Urbanismo",451,"Infraestrutura Urbana "
35929,10,"Saúde",301,"Atenção Básica"
29716,26,"Transporte",782,"Transporte Rodoviário"
6639,15,"Urbanismo",451,"Infraestrutura Urbana "
17403,15,"Urbanismo",451,"Infraestrutura Urbana "
14705,15,"Urbanismo",451,"Infraestrutura Urbana "
34005,6,"Segurança Pública",183,"Informação e Inteligência"
34005,14,"Direitos da Cidadania",422,"Direitos Individuais, Coletivos e Difusos"
34338,6,"Segurança Pública",181,"Policiamento"
36690,15,"Urbanismo",452,"Serviços Urbanos"
