"id_plano_trabalho_analise","codigo_siorg_orgao_analise_pt","nome_orgao_analise_pt","situacao_planejamento_pt","situacao_parecer_analise_pt","texto_parecer_analise_pt","situacao_analise_pt","data_analise_pt","valor_reprovado_analise_pt","id_plano_trabalho"
113446,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho ","Concluída","2025-08-07T15:15:29.56263",,35419
113448,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025","Concluída","2025-08-07T15:16:15.588725",,36742
113498,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025; ","Concluída","2025-08-07T15:37:00.618805",,40180
142659,308798,"Ministério das Cidades","EM_COMPLEMENTACAO","Solicitar Complementação","•	Ajustas as Metas 1, uma vez que a ação não apoia pavimentação de centros, que poderá entrar como obra com´plementar.","Concluída","2025-09-29T14:16:24.089127",,34266
113457,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho","Concluída","2025-08-07T15:18:35.681849",,34779
113468,308799,"Ministério da Integração e do Desenvolvimento Regional","APROVADO","Aprovar Plano de Trabalho","Aprovação Integral do Plano de Trabalho","Concluída","2025-08-07T15:21:46.912083",,36056
144575,308798,"Ministério das Cidades","EM_COMPLEMENTACAO","Solicitar Complementação","Prezados, 

Referente a(as) meta(as) 1, de competência, deste MCID, favor ajustar os seguintes itens: 

Incluir como Finalidade a Função 15 - Urbanismo e a subfunção 451- Infraestrutura Urbana; 

Adequar a meta, para que seja mensurável. ","Concluída","2025-10-02T13:53:16.886169",,35928
113476,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025","Concluída","2025-08-07T15:24:51.711682",,41168
113507,308798,"Ministério das Cidades","APROVADO","Aprovar Plano de Trabalho","Plano de Trabalho aprovado em conformidade com as orientações contidas na PORTARIA CONJUNTA MF/MGI Nº 15, DE 28 DE JULHO DE 2025; ","Concluída","2025-08-07T15:42:49.270933",,40107
141559,308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome","EM_COMPLEMENTACAO","Não se aplica","Prezado Gestor, 

Nos termos da legislação vigente, informamos que o objeto e metas propostas no Plano de Trabalho não tem vinculação as ações da política pública da Assistência Social do MDS.
","Concluída","2025-09-24T16:16:07.244576",,35179
