"id_analise_pendente","id_orgao_analise_pendente_pt","nome_orgao_analise_pendente_pt","id_plano_trabalho"
"43403-304",304,"Ministério da Saúde",43403
"42544-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",42544
"40160-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",40160
"39545-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",39545
"35082-304",304,"Ministério da Saúde",35082
"38021-304",304,"Ministério da Saúde",38021
"42012-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",42012
"39269-2207",2207,"Fundação Nacional de Saúde",39269
"40215-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",40215
"41335-304",304,"Ministério da Saúde",41335
"37695-308798",308798,"Ministério das Cidades",37695
"37695-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",37695
"39255-2207",2207,"Fundação Nacional de Saúde",39255
"39271-2207",2207,"Fundação Nacional de Saúde",39271
"41013-304",304,"Ministério da Saúde",41013
"36719-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36719
"43839-304",304,"Ministério da Saúde",43839
"37442-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",37442
"42477-304",304,"Ministério da Saúde",42477
"38560-304",304,"Ministério da Saúde",38560
"42608-1927",1927,"Ministério do Meio Ambiente",42608
"43897-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",43897
"35969-2207",2207,"Fundação Nacional de Saúde",35969
"35969-304",304,"Ministério da Saúde",35969
"35933-2207",2207,"Fundação Nacional de Saúde",35933
"35933-304",304,"Ministério da Saúde",35933
"35952-2207",2207,"Fundação Nacional de Saúde",35952
"35952-304",304,"Ministério da Saúde",35952
"35983-2207",2207,"Fundação Nacional de Saúde",35983
"35983-304",304,"Ministério da Saúde",35983
"35927-304",304,"Ministério da Saúde",35927
"35927-2207",2207,"Fundação Nacional de Saúde",35927
"34261-308798",308798,"Ministério das Cidades",34261
"34261-2207",2207,"Fundação Nacional de Saúde",34261
"38794-308798",308798,"Ministério das Cidades",38794
"41152-308793",308793,"Ministério da Agricultura e Pecuária",41152
"37925-304",304,"Ministério da Saúde",37925
"39440-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",39440
"35295-308798",308798,"Ministério das Cidades",35295
"34502-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",34502
"41786-308798",308798,"Ministério das Cidades",41786
"41613-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",41613
"43097-2207",2207,"Fundação Nacional de Saúde",43097
"43097-304",304,"Ministério da Saúde",43097
"40605-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",40605
"36203-253",253,"Fundo Nacional de Desenvolvimento da Educação",36203
"43819-304",304,"Ministério da Saúde",43819
"43728-304",304,"Ministério da Saúde",43728
"43197-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",43197
"39361-308798",308798,"Ministério das Cidades",39361
"34888-1799",1799,"Instituto Nacional de Colonização e Reforma Agrária",34888
"41985-304",304,"Ministério da Saúde",41985
"41985-2207",2207,"Fundação Nacional de Saúde",41985
"35097-72084",72084,"Ministério do Turismo",35097
"36179-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",36179
"39559-308821",308821,"Ministério da Cultura",39559
"43162-308798",308798,"Ministério das Cidades",43162
"43162-2207",2207,"Fundação Nacional de Saúde",43162
"35304-308795",308795,"Ministério da Pesca e Aquicultura",35304
"35304-308793",308793,"Ministério da Agricultura e Pecuária",35304
"36559-1927",1927,"Ministério do Meio Ambiente",36559
"43406-308821",308821,"Ministério da Cultura",43406
"35758-308798",308798,"Ministério das Cidades",35758
"35758-2207",2207,"Fundação Nacional de Saúde",35758
"36239-2207",2207,"Fundação Nacional de Saúde",36239
"36239-304",304,"Ministério da Saúde",36239
"34542-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",34542
"39406-304",304,"Ministério da Saúde",39406
"39406-2207",2207,"Fundação Nacional de Saúde",39406
"41888-308793",308793,"Ministério da Agricultura e Pecuária",41888
"41135-1927",1927,"Ministério do Meio Ambiente",41135
"39163-2207",2207,"Fundação Nacional de Saúde",39163
"39163-304",304,"Ministério da Saúde",39163
"43822-304",304,"Ministério da Saúde",43822
"34833-308798",308798,"Ministério das Cidades",34833
"34833-304",304,"Ministério da Saúde",34833
"34833-2207",2207,"Fundação Nacional de Saúde",34833
"41535-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",41535
"41666-308799",308799,"Ministério da Integração e do Desenvolvimento Regional",41666
"40570-304",304,"Ministério da Saúde",40570
"38148-253",253,"Fundo Nacional de Desenvolvimento da Educação",38148
"35188-267175",267175,"Ministério da Ciência, Tecnologia e Inovações",35188
"40991-2207",2207,"Fundação Nacional de Saúde",40991
"41594-2207",2207,"Fundação Nacional de Saúde",41594
"41594-308798",308798,"Ministério das Cidades",41594
"35685-2207",2207,"Fundação Nacional de Saúde",35685
"35685-304",304,"Ministério da Saúde",35685
"40634-308798",308798,"Ministério das Cidades",40634
"43202-304",304,"Ministério da Saúde",43202
"43202-2207",2207,"Fundação Nacional de Saúde",43202
"43047-304",304,"Ministério da Saúde",43047
"42803-1927",1927,"Ministério do Meio Ambiente",42803
"41284-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",41284
"43180-308798",308798,"Ministério das Cidades",43180
"38299-308798",308798,"Ministério das Cidades",38299
"37740-308798",308798,"Ministério das Cidades",37740
"36114-308793",308793,"Ministério da Agricultura e Pecuária",36114
"34721-308798",308798,"Ministério das Cidades",34721
"40500-72084",72084,"Ministério do Turismo",40500
"39886-253",253,"Fundo Nacional de Desenvolvimento da Educação",39886
"36015-308796",308796,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",36015
"42504-253",253,"Fundo Nacional de Desenvolvimento da Educação",42504
"39096-253",253,"Fundo Nacional de Desenvolvimento da Educação",39096
"43405-2207",2207,"Fundação Nacional de Saúde",43405
"39368-304",304,"Ministério da Saúde",39368
"39368-2207",2207,"Fundação Nacional de Saúde",39368
"39428-308794",308794,"Ministério do Desenvolvimento Agrário e Agricultura Familiar",39428
"37876-2207",2207,"Fundação Nacional de Saúde",37876
