"id_programa","ano_programa","modalidade_programa","codigo_programa","id_orgao_superior_programa","sigla_orgao_superior_programa","nome_orgao_superior_programa","id_orgao_programa","sigla_orgao_programa","nome_orgao_programa","id_unidade_gestora_programa","documentos_origem_programa","id_unidade_orcamentaria_responsavel_programa","data_inicio_ciencia_programa","data_fim_ciencia_programa","valor_necessidade_financeira_programa","valor_total_disponibilizado_programa","valor_impedido_programa","valor_a_disponibilizar_programa","valor_documentos_habeis_gerados_programa","valor_obs_geradas_programa","valor_disponibilidade_atual_programa"
3,2020,"ESPECIAL","0903",235876,"ME","Ministério da Economia",235876,"ME","Ministério da Economia",1,"2020DF00001 - 2020DF00002",73101,,,621218088,621218088,0,0,621218088,621218088,0
5,2021,"ESPECIAL","09032021",235876,"ME","Ministério da Economia",235876,"ME","Ministério da Economia",1,"2021DF00003 - 2021DF00004",73101,,,1978445447,1969840259.43,10749986,0,1967695461,1967695461,2144798.43
6,2021,"ESPECIAL","09032021-2",235876,"ME","Ministério da Economia",235876,"ME","Ministério da Economia",1,"2021DF00005 - 2022DF00006",73101,,,70868301,70868301,0,0,70868301,70868301,0
7,2022,"ESPECIAL","09032022",235876,"ME","Ministério da Economia",235876,"ME","Ministério da Economia",1,"2022DF00007 - 2022DF00008 - 2023DF00009",73101,,,3251808201,3237513613,14294588,0,3237513613,3237513613,0
8,2022,"ESPECIAL","09032022-2",235876,"ME","Ministério da Economia",235876,"ME","Ministério da Economia",1,"2023DF00010",73101,,,74446285,60718483,13727802,0,60718483,60718483,0
9,2022,"ESPECIAL","09032022-3",235876,"ME","Ministério da Economia",235876,"ME","Ministério da Economia",1,,73101,,,79479123,0,79479123,0,0,0,0
10,2022,"ESPECIAL","09032022-4",235876,"ME","Ministério da Economia",235876,"ME","Ministério da Economia",1,"2023DF00011",73101,,,18760640,18760640,0,0,18760640,18760640,0
12,2023,"ESPECIAL","09032023",308800,"MF","Ministério da Fazenda",308800,"MF","Ministério da Fazenda",1,"2023DF00012 - 2023DF00013 - 2023DF00014 - 2023DF00015 - 2023DF00016 - 2023DF00017 - 2023DF00018 - 2023DF00019 - 2023DF00020",73101,,,6581098191,6375767183,205331008,0,6375767183,6375767183,0
16,2023,"ESPECIAL","09032023-2",308800,"MF","Ministério da Fazenda",308800,"MF","Ministério da Fazenda",1,"2023DF00021",73101,"2023-12-14","2023-12-19",642492949,614742277,27750672,0,614742277,614742277,0
18,2023,"ESPECIAL","09032023-3",308800,"MF","Ministério da Fazenda",308800,"MF","Ministério da Fazenda",1,"2023DF00022",73101,"2023-12-14","2023-12-19",88402356,88402356,1,0,88402355,88402355,1
21,2024,"ESPECIAL","09032024",308800,"MF","Ministério da Fazenda",308800,"MF","Ministério da Fazenda",1,"2024DF00024 - 2024DF00026",73101,"2024-05-07","2024-05-17",7639406408,7449988720,189417688,0,7449988720,7449988720,0
22,2024,"ESPECIAL","09032024-2",308800,"MF","Ministério da Fazenda",308800,"MF","Ministério da Fazenda",1,"2024DF00023",73101,"2024-05-07","2024-05-17",232464007,232464007,0,0,232464007,232464007,0
23,2025,"ESPECIAL","09032025",308800,"MF","Ministério da Fazenda",308800,"MF","Ministério da Fazenda",1,,308800,"2025-07-29","2025-08-05",6994172321.73,0,388009651.59,6606162670.14,0,0,0
