"id_op_ob","data_emissao_op","numero_ordem_pagamento","vinculacao_op","situacao_op","descricao_situacao_op","data_situacao_op","data_emissao_ob","numero_ordem_bancaria","numero_ordem_lancamento","data_assinatura_ordenador_despesa_ob","data_assinatura_gestor_financeiro_ob","id_dh"
37323,"2024-12-12","2024OP010794",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010792","2024NS036388","2024-12-12","2024-12-12",50089
37314,"2024-12-12","2024OP010785",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010779","2024NS036379","2024-12-12","2024-12-12",52605
30944,"2024-07-02","2024OP003666",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB003666","2024NS016325","2024-07-03","2024-07-03",51066
36621,"2024-12-12","2024OP010092",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010076","2024NS035681","2024-12-12","2024-12-12",59705
36623,"2024-12-12","2024OP010094",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010097","2024NS035683","2024-12-12","2024-12-12",56005
36636,"2024-12-12","2024OP010107",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010111","2024NS035696","2024-12-12","2024-12-12",57814
36624,"2024-12-12","2024OP010095",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010092","2024NS035684","2024-12-12","2024-12-12",53242
37312,"2024-12-12","2024OP010783",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010776","2024NS036377","2024-12-12","2024-12-12",52804
37820,"2024-12-12","2024OP011291",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011205","2024NS036885","2024-12-12","2024-12-12",59982
37319,"2024-12-12","2024OP010790",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010801","2024NS036384","2024-12-12","2024-12-12",55250
37321,"2024-12-12","2024OP010792",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010799","2024NS036386","2024-12-12","2024-12-12",55128
37810,"2024-12-12","2024OP011281",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011167","2024NS036875","2024-12-12","2024-12-12",55674
37320,"2024-12-12","2024OP010791",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010804","2024NS036385","2024-12-12","2024-12-12",57890
38432,"2024-12-12","2024OP011903",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB012154","2024NS037497","2024-12-12","2024-12-12",52346
37610,"2024-12-12","2024OP011081",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB011083","2024NS036675","2024-12-12","2024-12-12",58060
37324,"2024-12-12","2024OP010795",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010806","2024NS036389","2024-12-12","2024-12-12",55090
37325,"2024-12-12","2024OP010796",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010805","2024NS036390","2024-12-12","2024-12-12",57554
37313,"2024-12-12","2024OP010784",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010785","2024NS036378","2024-12-12","2024-12-12",55730
36631,"2024-12-12","2024OP010102",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010101","2024NS035691","2024-12-12","2024-12-12",51343
28564,"2024-07-02","2024OP001286",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-03","2024-07-03","2024OB001283","2024NS013945","2024-07-02","2024-07-02",58436
33307,"2024-12-12","2024OP006778",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006780","2024NS032367","2024-12-12","2024-12-12",52483
33803,"2024-12-12","2024OP007274",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB007276","2024NS032863","2024-12-12","2024-12-12",52397
33783,"2024-12-12","2024OP007254",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB007256","2024NS032843","2024-12-12","2024-12-12",52812
33775,"2024-12-12","2024OP007246",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB007248","2024NS032835","2024-12-12","2024-12-12",57742
33808,"2024-12-12","2024OP007279",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB007281","2024NS032868","2024-12-12","2024-12-12",54051
36793,"2024-12-12","2024OP010264",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-13","2024-12-13","2024OB010274","2024NS035853","2024-12-12","2024-12-12",59340
27872,"2024-07-02","2024OP005721",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005720","2024NS018380","2024-07-03","2024-07-03",59332
28586,"2024-07-02","2024OP001308",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-03","2024-07-03","2024OB001310","2024NS013967","2024-07-02","2024-07-02",59204
33301,"2024-12-12","2024OP006772",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006774","2024NS032361","2024-12-12","2024-12-12",57621
28132,"2024-07-03","2024OP005981",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005980","2024NS019061","2024-07-03","2024-07-03",55955
33769,"2024-12-12","2024OP007240",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB007242","2024NS032829","2024-12-12","2024-12-12",50448
31368,"2024-07-02","2024OP004090",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB004090","2024NS016749","2024-07-03","2024-07-03",49874
33300,"2024-12-12","2024OP006771",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006773","2024NS032360","2024-12-12","2024-12-12",53273
28131,"2024-07-03","2024OP005980",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB005979","2024NS019060","2024-07-03","2024-07-03",54655
33306,"2024-12-12","2024OP006777",405,5,"OB Enviada à instituição bancária para pagamento","2024-12-12","2024-12-12","2024OB006779","2024NS032366","2024-12-12","2024-12-12",54736
28602,"2024-07-02","2024OP001324",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB001330","2024NS013983","2024-07-02","2024-07-02",50514
28571,"2024-07-02","2024OP001293",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB001280","2024NS013952","2024-07-02","2024-07-02",50620
28574,"2024-07-02","2024OP001296",405,5,"OB Enviada à instituição bancária para pagamento","2024-07-04","2024-07-03","2024OB001296","2024NS013955","2024-07-02","2024-07-02",54391
